"source_id","source_name","publisher","source_type","official_url","dataset_url","api_url","description","data_type","relevance","granularity","temporal_coverage","geographic_coverage","access_method","authentication_required","rate_limit","robots_or_access_policy","license","license_url","training_use","redistribution","attribution_required","third_party_content","pii_risk","copyright_risk","provenance_quality","freshness","collection_complexity","quality_score","legal_score","privacy_score","overall_score","task_er","task_ner","task_re","task_ee","task_tmp","task_geo","task_con","task_gra","task_rpt","task_total","tier","status","manual_review_required","notes"
"SRC-001","Wikidata","Wikimedia Foundation","structured knowledge base","https://www.wikidata.org/","https://dumps.wikimedia.org/wikidatawiki/entities/","https://query.wikidata.org/sparql","Collaboratively edited knowledge graph of ~110M items with typed statements, qualifiers, references, coordinates, temporal qualifiers and ~7000 external identifier properties.","entities, relationships, identifiers, coordinates, temporal qualifiers","Primary source of free entity-resolution supervision and graph structure.","entity / statement","historic to present","global (strong India coverage for people, orgs, places)","bulk dump (JSON/TTL) + SPARQL endpoint + REST API","NO","WDQS: 60s query timeout, concurrency limits, 429 backoff required; descriptive User-Agent mandatory","Wikimedia User-Agent policy; use dumps for large result sets, not WDQS","CC0 1.0","https://www.wikidata.org/wiki/Wikidata:Data_access","YES","YES","NO (appreciated)","references point to external sources; the statements themselves are CC0","LOW-MEDIUM (living persons; notability-gated, already public)","LOW","HIGH (statement-level references, revision IDs)","continuous","LOW-MEDIUM (dump size)","8","10","8","9","3","2","3","2","3","3","1","3","1","21","A","APPROVED","NO","THE anchor source. External-ID properties and sitelinks yield match/non-match pairs for entity resolution at zero labelling cost - this is the single strongest argument for it, not that it is 'real world'. Qualifiers P580/P582/P585 give temporal validity; P625 gives coordinates. Use dumps, never bulk-crawl WDQS."
"SRC-002","GLEIF LEI (Level 1 + Level 2)","Global Legal Entity Identifier Foundation","official entity registry","https://www.gleif.org/en/lei-data/gleif-golden-copy","https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy","https://api.gleif.org/api/v1/","Global register of legal entities with a stable 20-char identifier (Level 1) plus direct/ultimate parent ownership relationships (Level 2, 'who owns whom').","legal entities, registered addresses, ownership relationships","Gold entity keys and gold corporate ownership edges.","legal entity / relationship record","2012-present, with registration and last-update timestamps","global (includes Indian LEIs via LEIL)","bulk Golden Copy + delta files + REST API","NO","API fair-use; bulk files preferred","published download endpoints, no crawling needed","CC0 1.0","https://www.gleif.org/en/meta/lei-data-terms-of-use","YES","YES","NO","self-reported by registrants","LOW (legal entities, not natural persons)","LOW","HIGH (LOU-attributed, validated, timestamped)","daily","LOW","9","10","10","9","3","1","3","0","2","2","1","3","1","16","A","APPROVED","NO","Not in the original brief and it should have been. A globally unique validated entity key is exactly what an entity-resolution evaluation needs, and Level 2 gives real ownership edges under CC0. GLEIF disclaims accuracy - data is registrant-supplied - so treat conflicts as a contradiction-detection signal, not as error."
"SRC-003","DocRED / Re-DocRED","THUNLP (Tsinghua University)","academic labelled dataset","https://github.com/thunlp/DocRED","https://github.com/thunlp/DocRED","","Document-level relation extraction over Wikipedia text linked to Wikidata: human-annotated entities, 96 relation types, and supporting evidence sentences, plus a large distantly-supervised split.","documents with entity mentions, relations, evidence sentence IDs","Direct supervision for cross-sentence relationship extraction with evidence.","document / entity pair / evidence sentence","Wikipedia snapshot","global (English)","direct download","NO","n/a","n/a","MIT","https://github.com/thunlp/DocRED/blob/master/LICENSE","YES","YES","YES (MIT notice)","underlying text is Wikipedia (CC BY-SA) - see notes","LOW","MEDIUM","HIGH (evidence sentences per relation)","static (2019)","LOW","9","8","9","9","1","3","3","1","1","1","1","2","2","15","A","APPROVED_WITH_RESTRICTIONS","YES","Closest public analogue to NetIntel's own relationship-extraction task, and it comes with evidence spans, which is what a provenance-first system needs. MANUAL_REVIEW on one point: the repo is MIT but the source text is Wikipedia, so redistribution of the text may carry CC BY-SA obligations the MIT file does not mention. Prefer Re-DocRED (revised, fewer false negatives) for evaluation."
"SRC-004","FEVER","University of Sheffield / Amazon Science","academic labelled dataset","https://fever.ai/dataset/fever.html","https://fever.ai/dataset/fever.html","","185k claims labelled SUPPORTS / REFUTES / NOT ENOUGH INFO, each with evidence sets identifying the exact Wikipedia page and sentence IDs.","claims, verdict labels, sentence-level evidence pointers","Direct supervision for contradiction detection and evidence-grounded reporting.","claim / evidence sentence","Wikipedia 2017 dump","global (English)","direct download","NO","n/a","n/a","CC BY-SA 3.0 (subject to Wikipedia Copyright Policy)","https://fever.ai/download/fever/license.html","YES","YES (ShareAlike)","YES","Wikipedia text","LOW","MEDIUM","HIGH (page + sentence ID per evidence item)","static (2018)","LOW","9","6","9","8","0","1","1","0","0","0","3","0","3","8","A","APPROVED_WITH_RESTRICTIONS","YES","The REFUTES class is real contradiction supervision, and the evidence tuples are exactly the (document, sentence) provenance shape NetIntel already uses. RESTRICTION: CC BY-SA 3.0 is copyleft. Any derived dataset you publish inherits ShareAlike. Keep FEVER-derived records in a separately licensed partition so the obligation cannot leak into the rest of the corpus."
"SRC-005","Naamapadam (AI4Bharat)","AI4Bharat / IIT Madras","academic labelled dataset","https://huggingface.co/datasets/ai4bharat/naamapadam","https://huggingface.co/datasets/ai4bharat/naamapadam","","Largest NER corpus for 11 Indic languages (~5.7M rows), CoNLL-style PER/ORG/LOC tags, produced by projecting English NER labels across the Samanantar parallel corpus; manually labelled test sets for 8 languages.","token-level NER annotations","Only credible route to Hindi/Indic entity extraction supervision.","sentence / token","static","India (11 languages)","direct download","NO","n/a","n/a","CC0 1.0","https://huggingface.co/datasets/ai4bharat/naamapadam","YES","YES","NO","curators state they do not own the underlying text","LOW-MEDIUM","LOW","MEDIUM (projected labels, not gold)","static (2023)","LOW","7","10","8","8","0","3","0","0","0","1","0","1","0","5","A","APPROVED","NO","India relevance AND task fit in the same source, which almost nothing else on the list achieves. Caveat that matters for evaluation honesty: training labels are alignment-projected and therefore noisy. Report Indic NER numbers only on the manually labelled test splits."
"SRC-006","SEC EDGAR (full-text filings + submissions API)","U.S. Securities and Exchange Commission","government filing repository","https://www.sec.gov/edgar","https://www.sec.gov/Archives/edgar/full-index/","https://data.sec.gov/","Complete corpus of US securities filings: real long-form documents with named officers, beneficial owners, subsidiaries, transaction dates and dollar amounts (Forms 3/4/5, 13D/G, 10-K Ex-21, 8-K).","documents, entities, ownership relationships, dated transactions","The only Tier-A source that supplies real investigative-shaped DOCUMENTS with clean licensing.","filing / document / structured exhibit","1993-present","US-registered entities (global subsidiaries)","bulk index + REST API + full-text search","NO","10 requests/second, enforced","Declared User-Agent with contact email required; fair-access monitoring","US Government work / public domain (EDGAR filing content free to access and reuse)","https://www.sec.gov/os/webmaster-faq","YES","YES","NO","filer-authored documents; minimal licensed media","MEDIUM (named officers, signatures, addresses in some forms)","LOW","HIGH (accession number, filer CIK, filing timestamp)","intraday","MEDIUM","9","9","6","9","2","3","3","2","3","2","2","3","3","23","A","APPROVED_WITH_RESTRICTIONS","NO","Best available stand-in for 'evidence documents with a real entity graph behind them'. Form 4 gives dated person->company transactions; Ex-21 gives corporate hierarchy; 13D/G gives beneficial ownership. Hard restrictions: 10 req/s and a real User-Agent with contact email, both enforced at the collector layer, not by convention."
"SRC-007","Indian High Court Judgments (AWS Open Data)","Dattam Labs (from eCourts)","government-derived document corpus","https://registry.opendata.aws/indian-high-court-judgments/","s3://indian-high-court-judgments (ap-south-1, --no-sign-request)","","Judgments from 25 Indian High Courts sourced from eCourts: PDFs plus raw JSON and structured Parquet metadata, bulk tar files, quarterly refresh.","long-form legal documents + structured metadata","Real Indian investigative-adjacent documents with parties, dates, statutes and courts.","judgment document","multi-decade","India (25 High Courts)","public S3 bucket, no AWS account required","NO","S3 standard","published open-data bucket","CC BY 4.0","https://registry.opendata.aws/indian-high-court-judgments/","YES","YES","YES","court-authored judgments","HIGH (named accused, victims, witnesses, addresses, and matters involving minors)","LOW","HIGH (court, case number, date, bench)","quarterly","MEDIUM (PDF extraction, OCR for older scans)","8","8","3","6","2","3","2","2","3","2","2","2","3","21","B","APPROVED_WITH_RESTRICTIONS","YES","Strongest India-relevant document source and absent from the original brief. But the privacy score, not the task score, governs here: these are real criminal matters naming real people. Publicly available does not mean fair to reprocess into an investigative graph. Mandatory before any use beyond a sample: pseudonymisation policy, exclusion of matters involving minors and sexual offences, and a documented position on India's DPDP Act 2023 publicly-available-data exemption. Treat as REQUIRES_REVIEW until that policy exists in writing."
"SRC-008","OpenNyAI InJudgements","OpenNyAI / EkStep","academic document dataset","https://huggingface.co/datasets/opennyaiorg/InJudgements_dataset","https://huggingface.co/datasets/opennyaiorg/InJudgements_dataset","","~13,000 Indian court judgments (1950-2017, 293MB, Parquet) sampled by citation count across 8 case types and courts, with IndianKanoon URLs.","legal documents + case-type labels","Smaller, cleaner, better-documented entry point than the full eCourts corpus.","judgment","1950-2017","India","direct download","NO","n/a","n/a","Apache-2.0","https://huggingface.co/datasets/opennyaiorg/InJudgements_dataset","YES","YES","YES","court-authored","HIGH (same as SRC-007)","LOW","MEDIUM-HIGH","static","LOW","7","9","3","6","1","3","2","2","3","2","1","2","3","19","B","APPROVED_WITH_RESTRICTIONS","YES","Use this for the pilot instead of SRC-007: same document shape, 293MB not terabytes, explicit Apache-2.0. Same PII policy prerequisite. Also check OpenNyAI's separate Legal-NER dataset (Indian legal entity types: PETITIONER, RESPONDENT, JUDGE, STATUTE, PROVISION, PRECEDENT, DATE) - UNVERIFIED here, license not yet confirmed."
"SRC-009","KILT benchmark","Meta AI Research","academic benchmark suite","https://github.com/facebookresearch/KILT","https://github.com/facebookresearch/KILT","","Unified benchmark over a single 5.9M-document Wikipedia snapshot covering fact-checking, entity linking, slot filling, open-domain QA and dialogue, with every answer carrying provenance (page ID, paragraph, character offsets).","task inputs + answers + provenance spans","Reference design for evidence-linked generation evaluation.","example / provenance span","Wikipedia 2019 snapshot","global (English)","direct download","NO","n/a","n/a","MIT (code); constituent datasets retain their own licenses","https://github.com/facebookresearch/KILT","MANUAL_REVIEW (per constituent dataset)","MANUAL_REVIEW","YES","YES - FEVER, Natural Questions, HotpotQA, TriviaQA, ELI5, AIDA, T-REx, WoW each carry distinct terms","LOW","MEDIUM","HIGH (char-level offsets, BLEU alignment scores)","static (2020)","MEDIUM (35GB knowledge source)","8","5","9","7","1","2","2","0","0","0","2","0","3","10","B","MANUAL_REVIEW","YES","The MIT badge covers the KILT tooling, NOT the eight datasets it aggregates. Adopting KILT wholesale would silently import at least four different license regimes. Recommended use: copy the provenance SCHEMA (page + paragraph + char offsets + alignment score) into NetIntel's evidence model, and take individual constituent datasets only after each is separately cleared."
"SRC-010","MAVEN-ERE","THU-KEG (Tsinghua University)","academic labelled dataset","https://github.com/THU-KEG/MAVEN-ERE","https://github.com/THU-KEG/MAVEN-ERE","","4,480 documents with 103k event coreference chains, 1.22M temporal relations (BEFORE/OVERLAP/CONTAINS/SIMULTANEOUS/BEGINS-ON/ENDS-ON), 57,992 causal and 15,841 subevent relations.","event mentions + inter-event relation labels","By far the richest public supervision for event and temporal reasoning.","event mention / event pair","static","global (English, Wikipedia-derived)","direct download","NO","n/a","n/a","GPL-3.0","https://github.com/THU-KEG/MAVEN-ERE","MANUAL_REVIEW","MANUAL_REVIEW (copyleft)","YES","Wikipedia-derived text","LOW","MEDIUM-HIGH","HIGH","static (2022)","LOW","9","4","9","6","1","2","2","3","3","0","2","2","1","16","B","MANUAL_REVIEW","YES","Highest task-fit score of any event/temporal source and the licensing is the problem, not the data. GPL-3.0 applied to a dataset repository is legally ambiguous: it is a software license, and whether training on GPL data imposes obligations on model weights is unsettled. For a system with a government-deployment story, do not resolve this by assumption. Either obtain written clarification from THU-KEG or use MAVEN-ERE for EVALUATION ONLY and train temporal reasoning on Wikidata qualifiers instead."
